QualityIndicatorName,QualityIndicatorId,LocationId,LocationParentId,ParentName,LocationName,OrgNumber,Value,PeriodType,MeasureName,MeasureType,TimeFrom,TimeTo
Lokaliseringsteknologi til personer med demens,331,2025,1746,Vestland,Stad,46492020,51,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,2017,1746,Vestland,Aurland,46412020,6,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,2018,1746,Vestland,Lærdal,46422020,6,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1740,388,Norge,Møre og Romsdal,152020,1580,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,2019,1746,Vestland,Årdal,46432020,16,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,2020,1746,Vestland,Luster,46442020,39,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,2021,1746,Vestland,Askvoll,46452020,15,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1772,1739,Rogaland,Vindafjord,11602020,27,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,2022,1746,Vestland,Fjaler,46462020,5,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,2023,1746,Vestland,Sunnfjord,46472020,122,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,2024,1746,Vestland,Bremanger,46482020,23,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1771,1739,Rogaland,Utsira,11512020,0,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,2032,1747,Trøndelag,Osen,50202020,9,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1999,1746,Vestland,Samnanger,46232020,15,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1976,1745,Agder,Bygland,42202020,10,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1977,1745,Agder,Valle,42212020,5,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1786,1740,Møre og Romsdal,Vestnes,15352020,20,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1978,1745,Agder,Bykle,42222020,,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1979,1745,Agder,Vennesla,42232020,35,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1980,1745,Agder,Åseral,42242020,9,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1785,1740,Møre og Romsdal,Giske,15322020,75,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1981,1745,Agder,Lyngdal,42252020,47,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1982,1745,Agder,Hægebostad,42262020,8,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1983,1745,Agder,Kvinesdal,42272020,39,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1975,1745,Agder,Evje og Hornnes,42192020,10,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1967,1745,Agder,Gjerstad,42112020,12,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1968,1745,Agder,Vegårshei,42122020,9,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1789,1740,Møre og Romsdal,Averøy,15542020,50,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1969,1745,Agder,Tvedestrand,42132020,41,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1970,1745,Agder,Froland,42142020,34,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1971,1745,Agder,Lillesand,42152020,31,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1788,1740,Møre og Romsdal,Aukra,15472020,17,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1972,1745,Agder,Birkenes,42162020,23,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1973,1745,Agder,Åmli,42172020,10,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1974,1745,Agder,Iveland,42182020,8,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1787,1740,Møre og Romsdal,Rauma,15392020,41,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1784,1740,Møre og Romsdal,Sula,15312020,99,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1992,1746,Vestland,Tysnes,46162020,12,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1993,1746,Vestland,Kvinnherad,46172020,64,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1994,1746,Vestland,Ullensvang,46182020,76,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1780,1740,Møre og Romsdal,Hareid,15172020,23,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1781,1740,Møre og Romsdal,Ørsta,15202020,46,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1995,1746,Vestland,Eidfjord,46192020,,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1996,1746,Vestland,Ulvik,46202020,,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1997,1746,Vestland,Voss,46212020,69,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1779,1740,Møre og Romsdal,Ulstein,15162020,38,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1998,1746,Vestland,Kvam,46222020,48,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1991,1746,Vestland,Fitjar,46152020,7,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1984,1745,Agder,Sirdal,42282020,9,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1746,388,Norge,Vestland,462020,2532,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1985,1746,Vestland,Bergen,46012020,1003,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1783,1740,Møre og Romsdal,Sykkylven,15282020,50,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1986,1746,Vestland,Kinn,46022020,120,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1987,1746,Vestland,Etne,46112020,19,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1988,1746,Vestland,Sveio,46122020,21,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1782,1740,Møre og Romsdal,Stranda,15252020,24,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1989,1746,Vestland,Bømlo,46132020,43,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1990,1746,Vestland,Stord,46142020,79,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1768,1739,Rogaland,Bokn,11452020,10,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,2075,1748,Troms og Finnmark,Gratangen,54142020,5,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,2076,1748,Troms og Finnmark,Loabák - Lavangen,54152020,6,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1753,1739,Rogaland,Sandnes,11082020,145,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,2077,1748,Troms og Finnmark,Bardu,54162020,16,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,2078,1748,Troms og Finnmark,Salangen,54172020,20,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,2079,1748,Troms og Finnmark,Målselv,54182020,35,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1752,1739,Rogaland,Haugesund,11062020,132,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,2080,1748,Troms og Finnmark,Sørreisa,54192020,16,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,2081,1748,Troms og Finnmark,Dyrøy,54202020,9,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,2082,1748,Troms og Finnmark,Senja,54212020,55,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1751,1739,Rogaland,Stavanger,11032020,365,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,2067,1748,Troms og Finnmark,Harstad,54022020,156,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1756,1739,Rogaland,Bjerkreim,11142020,5,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,2068,1748,Troms og Finnmark,Alta,54032020,101,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,2069,1748,Troms og Finnmark,Vardø,54042020,12,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,2074,1748,Troms og Finnmark,Ibestad,54132020,16,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1755,1739,Rogaland,Lund,11122020,7,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,2071,1748,Troms og Finnmark,Hammerfest,54062020,77,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,2072,1748,Troms og Finnmark,Kvæfjord,54112020,8,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,2073,1748,Troms og Finnmark,Tjeldsund,54122020,18,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1754,1739,Rogaland,Sokndal,11112020,12,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,2070,1748,Troms og Finnmark,Vadsø,54052020,50,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,2066,1748,Troms og Finnmark,Tromsø,54012020,271,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,2083,1748,Troms og Finnmark,Balsfjord,54222020,36,Årlig,Totalt antall hjemmeboende personer med demens,Antall,2021-01-01T00:00:00,2021-12-31T00:00:00
